S. No,Description,Average Price,% Change,Cities,Value,Month
1,Wheat 10 Kg,352.79,0.9,Islam-abad,357.5,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Rawal-pindi,357.5,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Gujran-wala,362.5,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Sialkot,362.5,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Lahore,347.5,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Faisal-abad,342,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Sar-godha,325,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Multan,332.5,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Baha-walpur,346,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Karachi,388,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Hyder-abad,364.5,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Sukkur,325,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Larkana,345,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Pesha-war,366,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Bannu,366,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Quetta,360,01-01-2019
1,Wheat 10 Kg,352.79,0.9,Khuz-dar,350,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Islam-abad,393.5,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Rawal-pindi,392.41,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Gujran-wala,380,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Sialkot,390,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Lahore,392.5,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Faisal-abad,398,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Sar-godha,365,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Multan,378,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Baha-walpur,390,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Karachi,450.85,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Hyder-abad,420,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Sukkur,390,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Larkana,382,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Pesha-war,391.16,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Bannu,400,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Quetta,410,01-01-2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Khuz-dar,390,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Islam-abad,96.88,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Rawal-pindi,89.38,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Gujran-wala,70,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Sialkot,70,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Lahore,74.82,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Faisal-abad,95,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Sar-godha,65,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Multan,87.5,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Baha-walpur,60,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Karachi,85.54,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Hyder-abad,85,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Sukkur,65,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Larkana,77.5,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Pesha-war,84.17,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Bannu,53.75,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Quetta,93,01-01-2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Khuz-dar,80,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Islam-abad,61,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Rawal-pindi,59.08,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Gujran-wala,60,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Sialkot,47.5,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Lahore,57,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Faisal-abad,60,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Sar-godha,70,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Multan,50,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Baha-walpur,47.5,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Karachi,56.81,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Hyder-abad,53.5,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Sukkur,55,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Larkana,40.75,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Pesha-war,56.67,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Bannu,60.5,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Quetta,57,01-01-2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Khuz-dar,53.75,01-01-2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Islam-abad,45,01-01-2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Rawal-pindi,45,01-01-2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Gujran-wala,45,01-01-2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Sialkot,40,01-01-2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Lahore,44.29,01-01-2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Faisal-abad,45,01-01-2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Sar-godha,45,01-01-2019
