S. No,Description,Average Price,% Change,Cities,Value,Month
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Islam-abad,864.15,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Rawal-pindi,860,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Gujran-wala,860,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Sialkot,858.75,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Lahore,860,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Faisal-abad,860,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Sar-godha,860,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Multan,860,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Baha-walpur,860,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Karachi,1237.82,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Hyder-abad,1170.54,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Sukkur,951.24,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Larkana,931.45,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Pesha-war,1020.64,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Bannu,959.66,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Quetta,993.69,01-01-2021
1,Wheat Flour Bag 20 Kg,947.83,-2.41,Khuz-dar,1246.6,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Islam-abad,106.56,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Rawal-pindi,98.54,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Gujran-wala,80.79,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Sialkot,80,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Lahore,76.87,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Faisal-abad,90.79,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Sar-godha,90,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Multan,93.75,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Baha-walpur,80,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Karachi,99.43,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Hyder-abad,92.4,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Sukkur,100,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Larkana,96.55,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Pesha-war,80.79,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Bannu,66.49,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Quetta,104.92,01-01-2021
2,Rice Basmati Broken (Average Qualit y1 Kg,89.22,-0.08,Khuz-dar,90,01-01-2021
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,70.57,0.11,Islam-abad,76.52,01-01-2021
